Task ID,Argument ID,Discussion ID,Relevance,Is Argument?
6443192004097135105,22,41308,2,True
6443192004097135105,22,41308,2,True
6443192004097135105,22,41308,3,True
6443192004097135105,22,41308,2,True
6443192004097135105,22,41308,2,True
6498709377077090123,5,33408,2,True
6498709377077090123,5,33408,2,False
6498709377077090123,5,33408,2,True
6498709377077090123,5,33408,2,True
6498709377077090123,5,33408,2,True
-3150422245451331926,1,18018,1,True
-3150422245451331926,1,18018,2,False
-3150422245451331926,1,18018,2,True
-3150422245451331926,1,18018,2,True
-3150422245451331926,1,18018,2,False
1383439859202935352,1,33335,1,False
1383439859202935352,1,33335,1,True
1383439859202935352,1,33335,2,True
1383439859202935352,1,33335,2,True
1383439859202935352,1,33335,1,True
6984948827845080031,10,5291,2,True
6984948827845080031,10,5291,2,False
6984948827845080031,10,5291,2,True
6984948827845080031,10,5291,2,True
6984948827845080031,10,5291,2,True
5320328544003348441,1,11975,2,True
5320328544003348441,1,11975,2,False
5320328544003348441,1,11975,2,True
5320328544003348441,1,11975,2,True
5320328544003348441,1,11975,1,True
-7888092016983561289,1,1602,2,True
-7888092016983561289,1,1602,2,True
-7888092016983561289,1,1602,2,True
-7888092016983561289,1,1602,1,False
-7888092016983561289,1,1602,2,True
-7520233812457017315,5,38713,2,True
-7520233812457017315,5,38713,1,True
-7520233812457017315,5,38713,1,False
-7520233812457017315,5,38713,2,True
-7520233812457017315,5,38713,2,True
-4920192016217978114,4,33824,2,True
-4920192016217978114,4,33824,1,True
-4920192016217978114,4,33824,2,True
-4920192016217978114,4,33824,2,True
-4920192016217978114,4,33824,2,True
-8572039466234347994,3,30835,2,True
-8572039466234347994,3,30835,2,True
-8572039466234347994,3,30835,2,True
-8572039466234347994,3,30835,2,True
-8572039466234347994,3,30835,1,True
2979142633588935866,1,23541,0,False
2979142633588935866,1,23541,2,True
2979142633588935866,1,23541,2,True
2979142633588935866,1,23541,2,True
2979142633588935866,1,23541,2,True
-6361800198838920826,2,44220,2,True
-6361800198838920826,2,44220,2,True
-6361800198838920826,2,44220,2,True
-6361800198838920826,2,44220,1,True
-6361800198838920826,2,44220,2,True
1413132497125286057,6,514,2,True
1413132497125286057,6,514,2,True
1413132497125286057,6,514,2,True
1413132497125286057,6,514,2,False
1413132497125286057,6,514,2,True
-3190452394379890603,3,21879,2,True
-3190452394379890603,3,21879,2,True
-3190452394379890603,3,21879,2,True
-3190452394379890603,3,21879,2,True
-3190452394379890603,3,21879,3,True
