Discussion ID A,Argument ID A,Discussion ID B,Argument ID B,Comparison
33185,5,26941,1,A
28718,9,24423,5,A
21908,1,30877,14,B
33185,5,3382,1,B
24352,5,14442,5,A
37325,17,21908,1,A
4964,14,40213,18,B
40213,17,9551,5,A
33185,4,4964,1,Tie
4964,8,4964,4,Tie
42765,1,4964,6,B
42157,3,24423,2,Tie
33185,3,9551,5,Tie
40253,4,24352,2,Tie
3382,2,33185,6,B
26256,1,24352,2,B
33185,4,4964,4,A
24423,2,20575,7,B
30877,17,20575,7,B
4964,1,3382,1,B
7703,1,37325,17,B
24352,5,28718,12,B
21908,1,30877,17,B
42765,3,33185,2,A
11367,2,24423,2,B
40253,4,28718,12,B
6310,4,35902,5,B
6310,4,9551,5,B
4964,6,20575,1,B
17412,5,30877,8,A
2149,25,20575,7,B
30877,14,20575,7,A
24423,2,17412,5,B
26256,1,33075,18,A
33075,18,37325,17,B
4964,9,4954,1,B
33185,6,14442,5,A
7703,2,33075,18,A
33185,3,3382,1,B
1662,7,27227,2,B
11367,2,30877,17,B
2381,1,42157,3,B
33185,4,4954,1,A
33185,5,33185,6,Tie
4964,8,35902,5,B
30877,8,33185,4,B
27227,2,30877,17,B
42157,3,14442,2,A
24352,2,14442,2,B
14442,5,28718,9,B
33185,4,40213,18,A
40253,4,1662,7,B
17412,5,24423,5,A
17412,5,33185,2,Tie
7703,1,1662,7,A
30877,17,4964,9,A
3382,2,26941,1,Tie
2381,1,14442,5,A
9551,5,2381,1,B
24352,5,1662,3,A
37325,17,1662,3,A
26256,1,40253,4,A
11367,2,28718,9,A
4964,1,40213,18,B
24423,5,4964,9,A
1662,7,33185,2,B
33075,18,2381,1,Tie
14442,2,17412,5,A
26256,1,9551,5,A
28718,12,17412,5,A
28718,12,14442,2,B
6310,4,4964,1,Tie
1662,7,21908,1,B
1662,7,11367,2,B
7703,2,18518,5,A
3382,2,40253,4,B
28718,12,11367,2,B
33185,6,24352,2,B
42157,3,27227,2,A
4964,7,4964,14,B
33185,6,1662,7,A
9551,5,4964,1,A
33185,3,33185,5,Tie
26256,1,3382,1,A
4964,13,3382,1,A
4964,13,4964,4,A
24423,2,30877,14,Tie
42765,3,30877,14,Tie
33185,3,33075,18,A
20575,1,40213,18,A
7703,1,1662,3,A
18518,5,42157,3,A
33185,2,30877,8,B
42765,1,30877,8,B
2149,25,4964,13,B
42765,1,4964,7,A
4964,8,3382,1,B
24352,2,1662,7,A
24352,5,37325,17,B
4964,6,30877,8,A
9551,4,1662,3,A
4964,13,20575,1,B
6310,4,7703,1,B
18518,5,14442,2,B
18518,5,9551,4,A
28718,12,28718,9,B
1662,3,33185,2,B
24423,5,20575,1,A
9551,5,4954,1,B
17412,5,30877,17,A
42765,1,24423,5,Tie
9551,4,27227,2,B
4964,7,3382,1,B
40213,17,7703,1,Tie
4964,7,33185,4,B
1662,7,28718,9,B
6310,4,26941,1,B
1662,7,24423,2,Tie
33075,18,33185,6,B
21908,1,33185,2,B
9551,4,21908,1,B
21908,1,4964,6,Tie
40213,18,35902,5,A
33185,3,7703,1,A
33185,3,40253,4,Tie
27227,2,24423,5,B
3382,2,18518,5,B
2149,25,4964,9,A
33185,2,27227,2,A
40253,4,37325,17,B
14442,2,24423,2,B
11367,2,20575,7,B
33185,6,37325,17,B
4954,1,35902,5,B
42765,3,21908,1,B
30877,14,4964,6,B
4964,8,4964,11,Tie
24423,2,33185,2,B
42765,3,30877,8,A
7703,2,2381,1,A
33185,3,33185,6,B
4964,7,26941,1,A
14442,2,21908,1,A
9551,5,7703,2,A
6310,4,3382,2,B
9551,5,35902,5,B
6310,4,33185,5,B
33185,2,30877,14,A
4964,8,4964,9,Tie
2381,1,33185,6,A
20575,7,4964,13,Tie
2381,1,14442,2,B
33185,3,40213,18,B
14442,2,42765,3,B
3382,2,2381,1,B
33185,5,3382,2,Tie
4964,4,35902,5,B
42157,3,28718,9,B
30877,8,4964,4,Tie
26941,1,35902,5,Tie
9551,5,33075,18,B
26256,1,35902,5,B
7703,1,18518,5,A
6310,4,40253,4,A
4964,7,4964,13,Tie
30877,17,4964,8,A
4964,13,4964,9,Tie
21908,1,2149,25,B
33185,5,40213,18,Tie
7703,1,42157,3,A
33185,5,33075,18,A
4964,9,35902,5,B
33185,5,4964,14,A
4964,4,4964,14,A
9551,5,3382,1,A
28718,12,27227,2,B
4964,6,4964,13,A
24352,5,9551,4,B
14442,5,17412,5,Tie
18518,5,24352,2,Tie
42765,1,4964,11,A
4964,4,4964,1,Tie
7703,1,9551,4,B
33185,5,4964,1,B
20575,7,20575,1,B
33185,6,9551,4,A
27227,2,30877,14,A
24352,2,28718,12,A
30877,14,4964,8,A
24352,5,24352,2,Tie
4964,9,3382,1,B
3382,2,35902,5,B
14442,5,11367,2,B
2149,25,33185,4,B
26256,1,4954,1,A
28718,9,20575,7,B
20575,1,26941,1,Tie
14442,2,27227,2,B
9551,4,28718,12,B
37325,17,17412,5,A
33075,18,24352,5,B
24352,5,42157,3,B
3382,1,40213,18,A
42765,3,42765,1,B
26256,1,7703,1,Tie
4964,14,4954,1,B
42765,1,20575,1,B
9551,5,26941,1,B
33185,3,18518,5,A
4964,7,4964,11,B
14442,5,1662,7,A
18518,5,14442,5,Tie
30877,17,4964,6,A
37325,17,14442,5,A
30877,8,20575,1,B
4964,7,4964,9,B
20575,1,4964,14,A
11367,2,17412,5,B
33185,3,7703,2,B
24423,2,28718,9,A
3382,2,3382,1,B
4964,9,4964,14,B
2381,1,1662,7,B
40213,17,24352,2,B
21908,1,30877,8,A
3382,2,4964,1,A
11367,2,2149,25,A
37325,17,14442,2,A
42157,3,42765,3,A
40213,17,4964,14,A
26256,1,24352,5,A
27227,2,42765,1,A
3382,2,7703,1,B
30877,17,30877,8,Tie
9551,4,11367,2,B
26256,1,4964,1,Tie
24423,2,42765,1,Tie
37325,17,24423,2,A
11367,2,42765,3,A
2381,1,18518,5,A
20575,1,35902,5,B
20575,1,33185,4,A
28718,12,24423,2,A
4964,4,3382,1,B
21908,1,27227,2,B
26256,1,4964,14,A
4964,7,4964,4,B
7703,2,24352,5,B
7703,2,26941,1,A
20575,1,4964,1,A
24352,2,14442,5,A
1662,3,14442,2,Tie
11367,2,42765,1,A
2381,1,28718,12,A
42765,3,17412,5,B
4964,4,40213,18,B
24352,2,9551,4,B
7703,1,24352,5,A
6310,4,26256,1,B
7703,1,33185,6,B
20575,1,4954,1,Tie
30877,8,4964,8,A
30877,14,4964,11,B
9551,4,37325,17,B
1662,3,28718,9,B
